video,mask,prompt_sub,prompt_sty
pet_cat7/images/00.jpg,pet_cat7/masks/00.png,A picture of <o13> cat.,in <s> style.
pet_cat7/images/01.jpg,pet_cat7/masks/01.png,A picture of <o13> cat.,in <s> style.
pet_cat7/images/02.jpg,pet_cat7/masks/02.png,A picture of <o13> cat.,in <s> style.
pet_cat7/images/03.jpg,pet_cat7/masks/03.png,A picture of <o13> cat.,in <s> style.
pet_cat7/images/04.jpg,pet_cat7/masks/04.png,A picture of <o13> cat.,in <s> style.
pet_cat7/images/05.jpg,pet_cat7/masks/05.png,A picture of <o13> cat.,in <s> style.
pet_cat7/images/06.jpg,pet_cat7/masks/06.png,A picture of <o13> cat.,in <s> style.
pet_cat7/images/07.jpg,pet_cat7/masks/07.png,A picture of <o13> cat.,in <s> style.
pet_cat7/images/08.jpg,pet_cat7/masks/08.png,A picture of <o13> cat.,in <s> style.
pet_cat7/images/09.jpg,pet_cat7/masks/09.png,A picture of <o13> cat.,in <s> style.
